,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2008,0,0,0,0,0,0,160,473,334,184,0,0
2009,0,0,0,0,1,0,4,125,188,154,0,0
2010,0,0,0,0,0,0,61,183,120,45,0,0
2011,0,0,0,0,0,61,255,691,193,114,36,9
2012,0,0,0,0,0,10,129,122,246,107,27,0
2013,6,7,3,3,12,50,172,339,385,501,218,53
2014,15,7,2,0,8,9,82,80,76,63,22,11
2015,0,0,2,6,10,28,171,765,965,869,271,75
2016,13,3,17,38,70,254,926,1451,1544,1077,522,145
2017,92,58,36,73,134,267,286,346,430,512,409,126
2018,26,7,19,29,52,295,946,1796,3087,2406,1192,293
2019,38,18,17,58,193,1884,16253,52636,16856,8143,4011,1247
